Instance	EVs_Used	LB	Columns	Cuts	Nodes	MP_Time	PP_Time	Time	UB	Num_Chargers	TIU	CIU	TAC					
R101-25	9	633.6	450	0	3	0.15	0.47	0.94	634.7	3	1.0	0.8908	0.7699
R101-25	9	633.6	450	0	3	0.3	0.47	1.02	634.7	3	1.0	0.8908	0.7699
R101-25	9	633.6	450	0	3	0.48	0.7	1.6	634.7	3	1.0	0.8908	0.7699
R101-25	9	633.6	450	0	3	0.48	0.71	1.56	634.7	3	1.0	0.8908	0.7699
R101-25	9	633.6	450	0	3	0.45	0.71	1.52	634.7	3	1.0	0.8908	0.7699
R102-25	8	564.9	263	9	1	0.26	0.5	0.87	564.9	3	1.0	0.755	0.4478
R103-25	6	493.3	372	22	9	0.73	2.64	4.02	493.9	3	1.0	0.7439	0.4181
R101-25	9	633.6	450	0	3	0.42	0.64	1.49	634.7	3	1.0	0.8908	0.7699
R101-25	9	633.6	450	0	3	0.45	0.73	1.52	634.7	3	1.0	0.8908	0.7699
R101-25	9	633.6	450	0	3	0.52	0.82	1.8	634.7	3	1.0	0.8908	0.7699
C101-25	4	220.3	1505	40	3	1.92	22.56	25.18	221.4	1	0.6492	0.6492	0.6492
R106-25	7	515.7	344	37	15	0.74	1.53	2.96	525.5	3	0.9789	0.6905	0.4936
R106-25	7	515.7	344	37	15	0.66	1.6	2.78	525.5	3	0.9789	0.6905	0.4936
R106-25	7	515.7	344	37	15	0.67	10.96	12.1	525.5	3	0.9789	0.6905	0.4936
